route_id,trip_id,stop_id,lat,lng
26777,8758515,22729,32.768574,-96.793253
26777,8758515,22747,32.772481,-96.802992
26777,8758515,22748,32.776208,-96.808201
26777,8758515,22749,32.780915,-96.805443
26777,8758515,22750,32.781893,-96.800633
26777,8758515,22751,32.784296,-96.797026
26777,8758515,22752,32.786618,-96.79431
26777,8758515,26420,32.805424,-96.793176
26777,8758515,22938,32.837828,-96.774939
26777,8758515,26652,32.855791,-96.732732
26777,8758515,32049,32.879487,-96.730452
26777,8758515,26668,32.897924,-96.712139
26777,8758515,26690,32.908056,-96.679457
26777,8758515,26691,32.916319,-96.635369
26777,8758515,32562,32.904111,-96.563388
26777,8758518,33087,32.654057,-96.801091
26777,8758518,33086,32.666638,-96.7881
26777,8758518,23320,32.683394,-96.788812
26777,8758518,23391,32.693641,-96.792986
26777,8758518,23390,32.707113,-96.801175
26777,8758518,21030,32.723302,-96.805162
26777,8758518,16083,32.73986,-96.802604
26777,8758518,15262,32.748082,-96.798474
26777,8758575,32043,32.785866,-96.788532
,,,,
,,,,
,,,,
26778,8758238,29822,32.842971,-96.862176
26778,8758238,29824,32.822243,-96.833361
26778,8758238,29826,32.813602,-96.833204
26778,8758238,29825,32.804635,-96.823713
26778,8758238,28264,32.789607,-96.812513
26778,8758238,22749,32.780915,-96.805443
26778,8758238,22750,32.781893,-96.800633
26778,8758238,22751,32.784296,-96.797026
26778,8758238,22752,32.786618,-96.79431
26778,8758238,32043,32.785866,-96.788532
26778,8758238,32042,32.786495,-96.782132
26778,8758238,32041,32.782058,-96.765928
26778,8758238,32040,32.773757,-96.764576
26778,8758238,29831,32.766323,-96.742471
26778,8758238,29832,32.765606,-96.720388
26778,8758238,29833,32.732335,-96.709432
26778,8758238,29834,32.718478,-96.685108
26778,8758241,29815,32.991611,-96.936753
26778,8758241,29816,32.980876,-96.926476
26778,8758241,29817,32.954443,-96.908277
26778,8758241,29818,32.921962,-96.896238
26778,8758241,29819,32.896055,-96.88811
26778,8758241,29820,32.88212,-96.883811
26778,8758252,32891,32.79304,-96.813557
26778,8758252,32892,32.76548,-96.717736
26779,8758642,32553,32.907386,-97.039504
26779,8758642,31089,32.888023,-96.986505
26779,8758642,31088,32.875197,-96.967119
26779,8758642,33566,32.882109,-96.955159
26779,8758642,32338,32.876891,-96.938558
26779,8758642,32337,32.868572,-96.933574
26779,8758642,31084,32.849085,-96.915006
26779,8758642,29821,32.853778,-96.877344
26779,8758642,29822,32.842971,-96.862176
26779,8758642,29824,32.822243,-96.833361
26779,8758642,29826,32.813602,-96.833204
26779,8758642,29825,32.804635,-96.823713
26779,8758642,28264,32.789607,-96.812513
26779,8758642,22749,32.780915,-96.805443
26779,8758642,22750,32.781893,-96.800633
26779,8758642,22751,32.784296,-96.797026
26779,8758642,22752,32.786618,-96.79431
26779,8758642,26420,32.805424,-96.793176
26779,8758642,22938,32.837828,-96.774939
26779,8758642,22984,32.848601,-96.771758
26779,8758642,28755,32.872513,-96.765899
26779,8758642,26669,32.88265,-96.764931
26779,8758642,26671,32.908604,-96.76168
26779,8758642,26670,32.918254,-96.752235
26779,8758642,26672,32.940852,-96.737424
26779,8758642,26673,32.963447,-96.722981
26779,8758642,26674,32.985226,-96.710953
26779,8758642,26895,33.002166,-96.703144
26779,8758642,26896,33.020856,-96.700898
26779,8758642,26897,33.033454,-96.700736
,,,,
,,,,
,,,,
26780,8759450,22729,32.768574,-96.793253
26780,8759450,22747,32.772481,-96.802992
26780,8759450,22748,32.776208,-96.808201
26780,8759450,22749,32.780915,-96.805443
26780,8759450,22750,32.781893,-96.800633
26780,8759450,22751,32.784296,-96.797026
26780,8759450,22752,32.786618,-96.79431
26780,8759450,26420,32.805424,-96.793176
26780,8759450,22938,32.837828,-96.774939
26780,8759450,22984,32.848601,-96.771758
26780,8759450,28755,32.872513,-96.765899
26780,8759450,26669,32.88265,-96.764931
26780,8759450,26671,32.908604,-96.76168
26780,8759450,26670,32.918254,-96.752235
26780,8759450,26672,32.940852,-96.737424
26780,8759450,26673,32.963447,-96.722981
26780,8759450,26674,32.985226,-96.710953
26780,8759450,26895,33.002166,-96.703144
26780,8759450,26896,33.020856,-96.700898
26780,8759450,26897,33.033454,-96.700736
26780,8759453,15913,32.719758,-96.871727
26780,8759453,21210,32.726333,-96.855532
26780,8759453,22730,32.73314,-96.83839
26780,8759453,13659,32.740771,-96.812896
26780,8759453,15262,32.748082,-96.798474
,,,,
,,,,
,,,,
26782,8784604,32835,32.816702,-97.023847
26782,8784604,28178,32.81701,-97.05294
26782,8784604,28180,32.804585,-97.155108
26782,8784604,34126,32.805375,-97.209656
26782,8784604,28251,32.751796,-97.325397
26782,8784604,28252,32.745258,-97.328201
26782,8784606,22748,32.776208,-96.808201
26782,8784606,28264,32.789607,-96.812513
26782,8784606,28172,32.809269,-96.840291
26782,8784606,28174,32.814972,-96.947559
26782,8784606,28176,32.816074,-97.007097
26782,8784624,32834,32.816443,-97.014941
route_id,trip_id,stop_id,lat,lng
26777,8758515,22729,32.768574,-96.793253
26777,8758515,22747,32.772481,-96.802992
26777,8758515,22748,32.776208,-96.808201
26777,8758515,22749,32.780915,-96.805443
26777,8758515,22750,32.781893,-96.800633
26777,8758515,22751,32.784296,-96.797026
26777,8758515,22752,32.786618,-96.79431
26777,8758515,26420,32.805424,-96.793176
26777,8758515,22938,32.837828,-96.774939
26777,8758515,26652,32.855791,-96.732732
26777,8758515,32049,32.879487,-96.730452
26777,8758515,26668,32.897924,-96.712139
26777,8758515,26690,32.908056,-96.679457
26777,8758515,26691,32.916319,-96.635369
26777,8758515,32562,32.904111,-96.563388
26777,8758518,33087,32.654057,-96.801091
26777,8758518,33086,32.666638,-96.7881
26777,8758518,23320,32.683394,-96.788812
26777,8758518,23391,32.693641,-96.792986
26777,8758518,23390,32.707113,-96.801175
26777,8758518,21030,32.723302,-96.805162
26777,8758518,16083,32.73986,-96.802604
26777,8758518,15262,32.748082,-96.798474
26777,8758575,32043,32.785866,-96.788532
26777,8758575,32042,32.786495,-96.782132
26777,8758575,32041,32.782058,-96.765928
26778,8758238,29821,32.853778,-96.877344
26778,8758238,29822,32.842971,-96.862176
26778,8758238,29824,32.822243,-96.833361
26778,8758238,29826,32.813602,-96.833204
26778,8758238,29825,32.804635,-96.823713
26778,8758238,28264,32.789607,-96.812513
26778,8758238,22749,32.780915,-96.805443
26778,8758238,22750,32.781893,-96.800633
26778,8758238,22751,32.784296,-96.797026
26778,8758238,22752,32.786618,-96.79431
26778,8758238,32043,32.785866,-96.788532
26778,8758238,32042,32.786495,-96.782132
26778,8758238,32041,32.782058,-96.765928
26778,8758238,32040,32.773757,-96.764576
26778,8758238,29831,32.766323,-96.742471
26778,8758238,29832,32.765606,-96.720388
26778,8758238,29833,32.732335,-96.709432
26778,8758238,29834,32.718478,-96.685108
26778,8758241,29815,32.991611,-96.936753
26778,8758241,29816,32.980876,-96.926476
26778,8758241,29817,32.954443,-96.908277
26778,8758241,29818,32.921962,-96.896238
26778,8758241,29819,32.896055,-96.88811
26778,8758241,29820,32.88212,-96.883811
26778,8758252,32891,32.79304,-96.813557
26778,8758252,32892,32.76548,-96.717736
26779,8758642,32553,32.907386,-97.039504
26779,8758642,31089,32.888023,-96.986505
26779,8758642,31088,32.875197,-96.967119
26779,8758642,33566,32.882109,-96.955159
26779,8758642,32338,32.876891,-96.938558
26779,8758642,32337,32.868572,-96.933574
26779,8758642,31084,32.849085,-96.915006
26779,8758642,29821,32.853778,-96.877344
26779,8758642,29822,32.842971,-96.862176
26779,8758642,29824,32.822243,-96.833361
26779,8758642,29826,32.813602,-96.833204
26779,8758642,29825,32.804635,-96.823713
26779,8758642,28264,32.789607,-96.812513
26779,8758642,22749,32.780915,-96.805443
26779,8758642,22750,32.781893,-96.800633
26779,8758642,22751,32.784296,-96.797026
26779,8758642,22752,32.786618,-96.79431
26779,8758642,26420,32.805424,-96.793176
26779,8758642,22938,32.837828,-96.774939
26779,8758642,22984,32.848601,-96.771758
26779,8758642,28755,32.872513,-96.765899
26779,8758642,26669,32.88265,-96.764931
26779,8758642,26671,32.908604,-96.76168
26779,8758642,26670,32.918254,-96.752235
26779,8758642,26672,32.940852,-96.737424
26779,8758642,26673,32.963447,-96.722981
26779,8758642,26674,32.985226,-96.710953
26779,8758642,26895,33.002166,-96.703144
26779,8758642,26896,33.020856,-96.700898
26779,8758642,26897,33.033454,-96.700736
26779,8758691,32043,32.785866,-96.788532
26779,8758691,32042,32.786495,-96.782132
26779,8758691,32041,32.782058,-96.765928
26780,8759450,22729,32.768574,-96.793253
26780,8759450,22747,32.772481,-96.802992
26780,8759450,22748,32.776208,-96.808201
26780,8759450,22749,32.780915,-96.805443
26780,8759450,22750,32.781893,-96.800633
26780,8759450,22751,32.784296,-96.797026
26780,8759450,22752,32.786618,-96.79431
26780,8759450,26420,32.805424,-96.793176
26780,8759450,22938,32.837828,-96.774939
26780,8759450,22984,32.848601,-96.771758
26780,8759450,28755,32.872513,-96.765899
26780,8759450,26669,32.88265,-96.764931
26780,8759450,26671,32.908604,-96.76168
26780,8759450,26670,32.918254,-96.752235
26780,8759450,26672,32.940852,-96.737424
26780,8759450,26673,32.963447,-96.722981
26780,8759450,26674,32.985226,-96.710953
26780,8759450,26895,33.002166,-96.703144
26780,8759450,26896,33.020856,-96.700898
26780,8759450,26897,33.033454,-96.700736
26780,8759453,15913,32.719758,-96.871727
26780,8759453,21210,32.726333,-96.855532
26780,8759453,22730,32.73314,-96.83839
26780,8759453,13659,32.740771,-96.812896
26780,8759453,15262,32.748082,-96.798474
26780,8759547,32043,32.785866,-96.788532
26780,8759547,32042,32.786495,-96.782132
26780,8759547,32041,32.782058,-96.765928
26782,8784604,32835,32.816702,-97.023847
26782,8784604,28178,32.81701,-97.05294
26782,8784604,28180,32.804585,-97.155108
26782,8784604,34126,32.805375,-97.209656
26782,8784604,28251,32.751796,-97.325397
26782,8784604,28252,32.745258,-97.328201
26782,8784606,22748,32.776208,-96.808201
26782,8784606,28264,32.789607,-96.812513
26782,8784606,28172,32.809269,-96.840291
26782,8784606,28174,32.814972,-96.947559
26782,8784606,28176,32.816074,-97.007097
26782,8784624,32834,32.816443,-97.014941
route_id,trip_id,stop_id,lat,lng
26777,8758515,22729,32.768574,-96.793253
26777,8758515,22747,32.772481,-96.802992
26777,8758515,22748,32.776208,-96.808201
26777,8758515,22749,32.780915,-96.805443
26777,8758515,22750,32.781893,-96.800633
26777,8758515,22751,32.784296,-96.797026
26777,8758515,22752,32.786618,-96.79431
26777,8758515,26420,32.805424,-96.793176
26777,8758515,22938,32.837828,-96.774939
26777,8758515,26652,32.855791,-96.732732
26777,8758515,32049,32.879487,-96.730452
26777,8758515,26668,32.897924,-96.712139
26777,8758515,26690,32.908056,-96.679457
26777,8758515,26691,32.916319,-96.635369
26777,8758515,32562,32.904111,-96.563388
26777,8758518,33087,32.654057,-96.801091
26777,8758518,33086,32.666638,-96.7881
26777,8758518,23320,32.683394,-96.788812
26777,8758518,23391,32.693641,-96.792986
26777,8758518,23390,32.707113,-96.801175
26777,8758518,21030,32.723302,-96.805162
26777,8758518,16083,32.73986,-96.802604
26777,8758518,15262,32.748082,-96.798474
26777,8758575,32043,32.785866,-96.788532
26777,8758575,32042,32.786495,-96.782132
26777,8758575,32041,32.782058,-96.765928
26778,8758238,29821,32.853778,-96.877344
26778,8758238,29822,32.842971,-96.862176
26778,8758238,29824,32.822243,-96.833361
26778,8758238,29826,32.813602,-96.833204
26778,8758238,29825,32.804635,-96.823713
26778,8758238,28264,32.789607,-96.812513
26778,8758238,22749,32.780915,-96.805443
26778,8758238,22750,32.781893,-96.800633
26778,8758238,22751,32.784296,-96.797026
26778,8758238,22752,32.786618,-96.79431
26778,8758238,32043,32.785866,-96.788532
26778,8758238,32042,32.786495,-96.782132
26778,8758238,32041,32.782058,-96.765928
26778,8758238,32040,32.773757,-96.764576
26778,8758238,29831,32.766323,-96.742471
26778,8758238,29832,32.765606,-96.720388
26778,8758238,29833,32.732335,-96.709432
26778,8758238,29834,32.718478,-96.685108
26778,8758241,29815,32.991611,-96.936753
26778,8758241,29816,32.980876,-96.926476
26778,8758241,29817,32.954443,-96.908277
26778,8758241,29818,32.921962,-96.896238
26778,8758241,29819,32.896055,-96.88811
26778,8758241,29820,32.88212,-96.883811
26778,8758252,32891,32.79304,-96.813557
26778,8758252,32892,32.76548,-96.717736
26779,8758642,32553,32.907386,-97.039504
26779,8758642,31089,32.888023,-96.986505
26779,8758642,31088,32.875197,-96.967119
26779,8758642,33566,32.882109,-96.955159
26779,8758642,32338,32.876891,-96.938558
26779,8758642,32337,32.868572,-96.933574
26779,8758642,31084,32.849085,-96.915006
26779,8758642,29821,32.853778,-96.877344
26779,8758642,29822,32.842971,-96.862176
26779,8758642,29824,32.822243,-96.833361
26779,8758642,29826,32.813602,-96.833204
26779,8758642,29825,32.804635,-96.823713
26779,8758642,28264,32.789607,-96.812513
26779,8758642,22749,32.780915,-96.805443
26779,8758642,22750,32.781893,-96.800633
26779,8758642,22751,32.784296,-96.797026
26779,8758642,22752,32.786618,-96.79431
26779,8758642,26420,32.805424,-96.793176
26779,8758642,22938,32.837828,-96.774939
26779,8758642,22984,32.848601,-96.771758
26779,8758642,28755,32.872513,-96.765899
26779,8758642,26669,32.88265,-96.764931
26779,8758642,26671,32.908604,-96.76168
26779,8758642,26670,32.918254,-96.752235
26779,8758642,26672,32.940852,-96.737424
26779,8758642,26673,32.963447,-96.722981
26779,8758642,26674,32.985226,-96.710953
26779,8758642,26895,33.002166,-96.703144
26779,8758642,26896,33.020856,-96.700898
26779,8758642,26897,33.033454,-96.700736
26779,8758691,32043,32.785866,-96.788532
26779,8758691,32042,32.786495,-96.782132
26779,8758691,32041,32.782058,-96.765928
26780,8759450,22729,32.768574,-96.793253
26780,8759450,22747,32.772481,-96.802992
26780,8759450,22748,32.776208,-96.808201
26780,8759450,22749,32.780915,-96.805443
26780,8759450,22750,32.781893,-96.800633
26780,8759450,22751,32.784296,-96.797026
26780,8759450,22752,32.786618,-96.79431
26780,8759450,26420,32.805424,-96.793176
26780,8759450,22938,32.837828,-96.774939
26780,8759450,22984,32.848601,-96.771758
26780,8759450,28755,32.872513,-96.765899
26780,8759450,26669,32.88265,-96.764931
26780,8759450,26671,32.908604,-96.76168
26780,8759450,26670,32.918254,-96.752235
26780,8759450,26672,32.940852,-96.737424
26780,8759450,26673,32.963447,-96.722981
26780,8759450,26674,32.985226,-96.710953
26780,8759450,26895,33.002166,-96.703144
26780,8759450,26896,33.020856,-96.700898
26780,8759450,26897,33.033454,-96.700736
26780,8759453,15913,32.719758,-96.871727
26780,8759453,21210,32.726333,-96.855532
26780,8759453,22730,32.73314,-96.83839
26780,8759453,13659,32.740771,-96.812896
26780,8759453,15262,32.748082,-96.798474
26780,8759547,32043,32.785866,-96.788532
26780,8759547,32042,32.786495,-96.782132
26780,8759547,32041,32.782058,-96.765928
26782,8784604,32835,32.816702,-97.023847
26782,8784604,28178,32.81701,-97.05294
26782,8784604,28180,32.804585,-97.155108
26782,8784604,34126,32.805375,-97.209656
26782,8784604,28251,32.751796,-97.325397
26782,8784604,28252,32.745258,-97.328201
26782,8784606,22748,32.776208,-96.808201
26782,8784606,28264,32.789607,-96.812513
26782,8784606,28172,32.809269,-96.840291
26782,8784606,28174,32.814972,-96.947559
26782,8784606,28176,32.816074,-97.007097
26782,8784624,32834,32.816443,-97.014941
